"labid","age","error","depth","cc"
"Core top_34866",-46,2,0,0
"Radiocarbon_34867",310,30,87,1
"Radiocarbon_34868",2970,70,324,1
"Radiocarbon_34869",3760,40,453,1
"Radiocarbon_34870",5140,45,607,1
"Radiocarbon_34871",7620,50,680,1
"Radiocarbon_34872",11050,50,817,1
