depth	min	max	median	wmean
205	1149.6	2352.7	1726.2	1741.8
206	1163.7	2357.6	1736.8	1752.6
207	1176.4	2363.3	1749.3	1764
208	1189.5	2374.2	1760.8	1775.6
209	1202.6	2380.8	1772.9	1786.9
210	1214.5	2392.9	1783.5	1798.4
211	1226.1	2404.1	1793.9	1809.5
212	1238.3	2413.3	1805.9	1820.9
213	1249.1	2425.1	1818.1	1832.4
214	1264.2	2438.5	1830.4	1843.9
215	1272.7	2449.6	1841.2	1854.7
216	1284.5	2462.5	1853.5	1866.4
217	1294.2	2477.4	1865.8	1877.6
218	1304.3	2491.4	1877.3	1889.3
219	1309.4	2505.4	1889.1	1900.3
220	1318.5	2522.1	1900.2	1911.8
221	1339	2527.3	1911.5	1923.6
222	1356.3	2536.1	1923.3	1935.6
223	1372.9	2541.3	1935.3	1947.5
224	1384.7	2548.3	1948.8	1959.7
225	1397.2	2553.8	1961	1971.5
226	1412.1	2559.1	1973.1	1983.2
227	1420	2570.2	1985.1	1995.5
228	1434.5	2575.9	1997.6	2007.8
229	1443.3	2585.5	2009.6	2019.7
230	1453.5	2593	2022.8	2031.3
231	1464.7	2602.4	2035.3	2043.1
232	1475	2612.5	2049.6	2055.4
233	1484.4	2620.9	2062.3	2067.3
234	1496.6	2631.7	2074.2	2079.7
235	1507.6	2643.6	2085.7	2091.8
236	1513.5	2656.6	2097.5	2103.5
237	1521.2	2670.2	2110.9	2115.3
238	1532.7	2682.9	2123.2	2127.3
239	1542.6	2695.1	2138.3	2139.2
240	1552.9	2709.3	2150.9	2151.2
241	1566.1	2718.9	2162.2	2162.8
242	1589	2726.1	2172.8	2174.3
243	1600.9	2731.7	2184.8	2185.2
244	1622.9	2735.8	2196	2197.3
245	1635.1	2741.6	2208.1	2209
246	1648.1	2750.6	2219.7	2220.7
247	1663	2764.4	2233.9	2232.8
248	1675.6	2768.6	2244.2	2244.6
249	1684.6	2779.3	2257.2	2256.3
250	1698.7	2790.8	2271.1	2268.3
251	1711.9	2797	2283.4	2279.7
252	1724	2806	2296	2291.8
253	1734.4	2818.9	2308.9	2303.5
254	1746	2830	2321.4	2315.6
255	1757.1	2837.4	2334.7	2327.3
256	1764.7	2848.8	2347.7	2338.9
257	1779.2	2861.3	2360	2350.4
258	1789	2873.5	2373.4	2362.5
259	1793.3	2884.5	2384	2373.8
260	1798.8	2897.6	2397.4	2385.4
261	1821.1	2902.2	2408.3	2396.7
262	1841.4	2907.2	2419.5	2408.2
263	1860.5	2913.1	2430.2	2419.4
264	1879.8	2917.3	2442.3	2431.3
265	1895.7	2923.9	2452.3	2442.6
266	1914	2930	2463.5	2454.3
267	1922.5	2934.7	2474.7	2465.6
268	1935.2	2937.6	2486.5	2477.1
269	1945.4	2944	2497.4	2488.3
270	1961.7	2950.6	2510.6	2499.8
271	1972.6	2956.2	2522.2	2510.9
272	1985.2	2968.7	2534.7	2522.6
273	2001.8	2974.4	2546.1	2534
274	2013.2	2984.5	2558.3	2545.7
275	2019.4	2995.1	2570.7	2557.2
276	2031.5	3006	2582.3	2568.3
277	2041.2	3014.9	2594.9	2579.9
278	2050	3024.1	2606.2	2591.3
279	2063.4	3038.8	2617	2602.9
280	2073	3051	2629.1	2614.1
281	2094.2	3054.6	2638.5	2625
282	2111.9	3057.3	2649.1	2635.3
283	2131.4	3063.5	2659.2	2646.3
284	2149.8	3069	2671.4	2657.1
285	2165	3073.5	2682	2668.1
286	2181.7	3078.3	2693.5	2678.9
287	2197.7	3084.6	2704.1	2689.5
288	2213.9	3090.4	2714.9	2700.2
289	2229	3094.8	2726.6	2711.1
290	2245	3101.6	2738.2	2722.3
291	2257.8	3107	2749.4	2733
292	2272.7	3113.2	2759.9	2743.6
293	2287.8	3121.2	2772.1	2754.8
294	2299.9	3127.9	2783	2765.4
295	2310.1	3137.6	2793.4	2776.1
296	2321.9	3146.6	2805.5	2787
297	2334	3157	2816.6	2798
298	2341.8	3167.3	2826.7	2808.7
299	2353.8	3176.4	2838.7	2819.4
300	2358.9	3188.6	2851.3	2830.2
301	2386.3	3191.8	2861.2	2841.7
302	2416	3199.4	2868.8	2852.9
303	2442.2	3200.7	2877.9	2864.3
304	2471.7	3205.6	2887.9	2875.9
305	2498.7	3208.8	2896.7	2887
306	2525.3	3213.9	2906.7	2898.4
307	2552.8	3218.5	2916.1	2909.8
308	2575.3	3223	2927.8	2921.5
309	2598.3	3226	2937	2932.5
310	2617.9	3232.2	2948	2944.3
311	2637.6	3239.8	2958.4	2955.6
312	2663.5	3243.6	2969.5	2967.1
313	2684.6	3250.6	2980.9	2978.5
314	2702.5	3256.4	2992.7	2990.5
315	2721.2	3265.1	3004.5	3002.1
316	2735.5	3273.1	3015.6	3013.5
317	2752.6	3281.6	3028	3025.2
318	2766	3292	3039.1	3036.6
319	2776.2	3302.8	3050.2	3048.3
320	2787.7	3313.6	3061.2	3059.9
321	2800.3	3319.5	3070	3068.6
322	2813.6	3323.8	3078.4	3077.4
323	2825.5	3328.6	3086.9	3086.6
324	2837.6	3335.4	3095	3095.3
325	2845.7	3344.5	3103.4	3104.3
326	2856.2	3350.2	3112.4	3113.3
327	2866.2	3360.4	3121.6	3122.2
328	2876.4	3367.8	3130.4	3131.4
329	2884.7	3379.1	3138.2	3140.4
330	2892.1	3388.8	3146.9	3149.4
331	2898.1	3400.2	3156.5	3158.7
332	2906.8	3413.5	3164.6	3167.3
333	2911.7	3427.2	3173.4	3176.2
334	2917.9	3442.1	3182	3185.1
335	2924.4	3456.8	3190.7	3193.9
336	2928.6	3471.6	3197.9	3202.7
337	2931.2	3488	3205.3	3211.3
338	2937.6	3505.7	3212.2	3219.7
339	2940.1	3524.6	3219.8	3228.6
340	2945.8	3545.7	3227.8	3237.5
341	2956.4	3553.1	3234.9	3245.5
342	2963.9	3560.9	3243.2	3253.4
343	2971.2	3565.7	3251	3261.5
344	2977.8	3572.2	3259.5	3269.4
345	2985.7	3579.3	3267.9	3277.7
346	2992.7	3587	3276.7	3285.5
347	2998.8	3594.5	3285.6	3293.2
348	3008.3	3602.9	3294.6	3301.4
349	3014.3	3613.3	3303.4	3309.4
350	3020.7	3624.3	3312	3317.5
351	3023.6	3635.4	3319.5	3325.7
352	3028.5	3647.2	3328.1	3333.5
353	3033	3656.5	3336.8	3341.7
354	3034.9	3667.3	3344.8	3349.9
355	3039	3679	3352.2	3357.5
356	3046.5	3688.7	3360.1	3365.5
357	3048.5	3703.8	3367.9	3373.7
358	3051.2	3716.2	3375.7	3381.5
359	3058.3	3732	3383.1	3389.5
360	3063.5	3750.7	3391.3	3397.7
361	3072.2	3755.2	3398.9	3405.7
362	3086.1	3756	3407.4	3413.7
363	3093.1	3762.7	3415.4	3421.6
364	3099.6	3770.4	3423.5	3429.6
365	3109.4	3776.1	3432	3437.7
366	3117.6	3782.8	3439.5	3445.9
367	3126.3	3790.2	3448.6	3454.3
368	3133.5	3794.3	3458	3462.4
369	3143.1	3801.9	3467.1	3470.5
370	3150.3	3809.1	3475.3	3478.9
371	3160.5	3818.3	3484.3	3487.3
372	3166.7	3828.7	3493	3495.8
373	3173.1	3839.9	3501.8	3504.1
374	3178.9	3849.9	3509.8	3512.5
375	3183.9	3860.3	3517.9	3520.6
376	3187.8	3867.9	3526.5	3529.1
377	3193.1	3882.1	3534.9	3537.5
378	3199	3893.5	3542.5	3545.3
379	3203.1	3903	3550.4	3553.5
380	3207.5	3918.6	3558.2	3562
381	3222.2	3923.4	3565.9	3569.9
382	3232.9	3929.3	3573.1	3578
383	3243.2	3932.7	3580.9	3585.6
384	3254.2	3937.4	3588.5	3593.6
385	3263.2	3942.5	3596.2	3601.8
386	3272.2	3948	3604.8	3609.8
387	3278.2	3952.4	3613.4	3617.8
388	3285.8	3955.6	3621.4	3625.8
389	3293.9	3960.3	3629.4	3633.8
390	3299.2	3968.4	3638.5	3641.8
391	3304.9	3972.8	3646.8	3649.7
392	3311.8	3979	3654.3	3657.7
393	3318.5	3985.8	3662.4	3665.5
394	3326.6	3992.9	3670.4	3673.6
395	3328.7	4003.3	3678.2	3681.4
396	3337.5	4014.4	3685.7	3689.5
397	3342.2	4020.7	3693.6	3697
398	3344.1	4030.7	3701.6	3704.8
399	3353.3	4039.6	3710	3712.8
400	3357.4	4049.4	3717	3720.3
401	3369.4	4055	3724.1	3727.7
402	3380	4056	3732.9	3735.4
403	3389.3	4059.7	3740.6	3743.1
404	3402.7	4063.4	3748.6	3750.4
405	3413	4066.8	3756.2	3758.1
406	3420.8	4071.5	3764	3765.6
407	3429.4	4075.5	3772.6	3773.1
408	3442.3	4079.7	3780.5	3780.7
409	3449.8	4084.8	3789.3	3788.3
410	3456.1	4090.1	3797.8	3796.1
411	3463.6	4094.3	3805.9	3803.7
412	3471.6	4101	3813.7	3811.1
413	3476.3	4108.4	3821.7	3818.6
414	3484.4	4114	3829.7	3825.8
415	3489.7	4118.8	3836.7	3833.3
416	3496.6	4129.3	3844.4	3840.3
417	3502	4136.4	3851.9	3847.8
418	3510	4142.6	3860.2	3855.2
419	3516.4	4153.1	3868.7	3862.6
420	3518.1	4164.9	3876	3870.3
421	3536.9	4167	3883	3877.5
422	3548.6	4172.2	3889.8	3885.8
423	3564	4174.7	3896.7	3893.6
424	3579.7	4179	3904	3901.7
425	3595.5	4183.4	3911.5	3909.9
426	3609.2	4188.2	3919.8	3917.9
427	3626	4195.3	3928.3	3926.2
428	3637.3	4200.7	3936.2	3934.1
429	3650	4204.9	3944.3	3942.1
430	3663.3	4209.8	3951.5	3949.9
431	3673	4215.1	3960	3958.1
432	3685	4219.7	3969.1	3966
433	3694	4226.9	3978.1	3974.4
434	3702.9	4235	3986.2	3982.4
435	3712.1	4241.9	3996.1	3990.6
436	3720.2	4249.4	4004.6	3998.7
437	3724.8	4258.7	4012.4	4006.7
438	3732.7	4268.3	4020.7	4014.5
439	3738.5	4277.7	4028.6	4022.6
440	3744.3	4291	4036.1	4030.7
441	3766.9	4292.8	4043.9	4039.4
442	3790.3	4298.5	4051.8	4048.2
443	3811.4	4304.3	4058.4	4056.9
444	3832.2	4307.8	4065.8	4065.6
445	3848.6	4314.2	4073.5	4074
446	3869.7	4318.6	4080.8	4082.6
447	3886	4324.6	4088.6	4091.3
448	3902.3	4331.8	4095.6	4100
449	3918.7	4337.7	4103.2	4108.7
450	3931.9	4343.5	4111.5	4117.6
451	3946.3	4349.8	4119.5	4126.5
452	3959.4	4358.5	4128.5	4135.6
453	3970.3	4367	4136.5	4144.5
454	3981.8	4378.4	4145.5	4153.7
455	3990.6	4390.1	4153.9	4162.7
456	3996.6	4399.1	4162.5	4171.7
457	4001.8	4409.8	4170.4	4180.6
458	4005.5	4421.3	4179.1	4189.7
459	4008.9	4431.3	4188.3	4198.6
460	4012.9	4443.3	4197.6	4207.8
461	4027.1	4454.3	4209.1	4218.8
462	4035.1	4464.4	4220.6	4229.7
463	4043	4473	4231.7	4240.7
464	4051	4486.5	4242.5	4251.7
465	4060	4500.9	4252.9	4262.4
466	4064.6	4515.8	4264.6	4273.4
467	4071.7	4528.4	4275.2	4284.1
468	4077.4	4544.7	4285.6	4295
469	4080.2	4562.2	4295.1	4305.6
470	4084.8	4581.1	4305.3	4316.2
471	4089.4	4601.1	4314.6	4326.8
472	4093.4	4619.1	4324.5	4337.4
473	4096	4639.2	4334.2	4348
474	4100.8	4663.9	4343.5	4358.5
475	4104.7	4687	4353.5	4369.3
476	4106.5	4712	4362.8	4379.8
477	4109.6	4741.1	4372.2	4390.5
478	4112.6	4766.3	4381.4	4400.9
479	4117.2	4793.7	4390.8	4411.4
480	4118.3	4823.2	4399.8	4422
481	4130.4	4830.9	4410.6	4432.9
482	4141.2	4840.9	4421.8	4443.9
483	4150.2	4853.3	4434.4	4454.9
484	4158.4	4867.7	4446	4466
485	4166.2	4876.8	4457.4	4476.8
486	4173.9	4889.4	4469.4	4487.6
487	4182.3	4904.9	4481.7	4498.7
488	4186.1	4915.8	4493.9	4509.6
489	4190.6	4927.7	4504.4	4520.5
490	4196.1	4944.9	4513.9	4531.5
491	4203.3	4959.2	4524.4	4542.6
492	4208.8	4974.1	4535.5	4553.6
493	4212.8	4993.8	4546.7	4564.6
494	4217.2	5010.5	4556	4575.5
495	4221.8	5027	4565.9	4586.1
496	4225.5	5049.4	4575.4	4596.7
497	4229.9	5071.4	4586.7	4607.9
498	4233.4	5094.3	4596.9	4618.5
499	4237	5119.4	4607.2	4629.2
500	4241.2	5140.6	4617.4	4640.1
501	4256.6	5147.7	4628.3	4651.3
502	4269.7	5154.6	4639.1	4662.2
503	4286	5159	4650.3	4673.8
504	4298.6	5163.9	4662.8	4684.5
505	4308.3	5169.4	4674.9	4695.6
506	4318.3	5179.2	4686.4	4706.7
507	4328.4	5186.3	4699.4	4717.8
508	4335.1	5195.7	4710.5	4729.1
509	4343.2	5205	4722.8	4740.3
510	4349.2	5213.7	4734.7	4751.3
511	4356.5	5225.6	4747.4	4762.7
512	4360.6	5234.3	4759.1	4773.6
513	4367.7	5249	4770.8	4784.6
514	4373.9	5259.1	4782.2	4795.8
515	4378.8	5273.7	4794	4807
516	4382.6	5288	4806.6	4818.2
517	4388.3	5301.4	4818.3	4829.1
518	4392.7	5318.5	4830.1	4840.1
519	4397.2	5335.1	4842.3	4851.3
520	4401.6	5352.9	4853.6	4862.3
521	4417.8	5360.5	4864.2	4873.2
522	4434.1	5369.9	4874.9	4884
523	4445.5	5377.4	4885.8	4894.7
524	4454.9	5386.4	4897.2	4905.6
525	4465.8	5394.3	4908.2	4916.3
526	4474.5	5403.2	4920.5	4927.5
527	4484.3	5412.7	4931	4937.6
528	4492	5422.5	4943	4948.8
529	4505.5	5435.4	4954.4	4959.6
530	4511.7	5441.7	4965.1	4969.9
531	4518.3	5451.6	4976.1	4980.5
532	4526.4	5459.8	4988.8	4991.3
533	4532.4	5474.8	4997.5	5001.9
534	4539.6	5479	5009.6	5012.6
535	4544.4	5495.5	5019.4	5023.3
536	4550.1	5511.5	5028.5	5033.5
537	4557.5	5522.9	5039.4	5044.4
538	4562.5	5540.8	5051.3	5055.5
539	4567.4	5559.3	5061.2	5065.8
540	4570.3	5577.2	5070.6	5076.3
541	4587.6	5581.3	5082.8	5087.2
542	4604.6	5592	5095.1	5098.3
543	4618.8	5595.9	5106.7	5109.7
544	4632.1	5603.5	5118.3	5121.2
545	4643.9	5610.5	5131.1	5132.4
546	4657	5619.5	5142.6	5143.7
547	4670.6	5627	5154.6	5155.2
548	4682.2	5633	5166.3	5166.3
549	4696.4	5640.3	5176.5	5177.8
550	4709.8	5648.5	5189.3	5189.2
551	4718.5	5660.5	5201.7	5201.1
552	4728.6	5667	5214	5212.7
553	4736.2	5675.8	5226.8	5223.9
554	4743	5682.7	5238.6	5235.3
555	4752.3	5691.7	5250.1	5247.1
556	4759.6	5706.1	5261.3	5258.2
557	4767.2	5717.3	5273.1	5270
558	4774.5	5727.5	5285.5	5281.2
559	4785.1	5740.2	5296.3	5293
560	4789.3	5755.4	5308	5304.6
561	4812.5	5758.6	5318.6	5315.7
562	4832	5764.9	5330.9	5327
563	4850.1	5770.8	5341.3	5338.4
564	4868	5776.8	5351.7	5349.7
565	4882.2	5784.3	5363.4	5361.2
566	4902.1	5790	5376.4	5372.3
567	4917.4	5795.2	5387.8	5384
568	4934.5	5803.2	5399.6	5395.4
569	4949.1	5810.5	5410.9	5406.8
570	4964.5	5817.4	5423.8	5418.5
571	4975.3	5823.9	5435.8	5429.9
572	4990.4	5832.1	5448.5	5441.7
573	5000.3	5840	5461.2	5453
574	5009.5	5849.8	5474	5464.6
575	5019.7	5864.7	5487.1	5476.6
576	5028.8	5877.3	5500.9	5487.8
577	5040.2	5887	5513.4	5499.5
578	5049.5	5899.6	5525	5510.9
579	5059.1	5915.1	5537.8	5522.4
580	5064.6	5929.6	5549.4	5533.7
581	5087.3	5939	5558.4	5544.7
582	5109.7	5940.3	5569.4	5556
583	5130.6	5951.3	5578.8	5567.1
584	5149.2	5955.5	5589.9	5578.2
585	5173.6	5958.7	5599.8	5589.4
586	5187.6	5966.8	5611.7	5600.7
587	5206.3	5972.8	5620.9	5611.6
588	5222.6	5977.3	5632.4	5622.9
589	5237.1	5982.9	5644	5634.6
590	5255	5991.2	5654.4	5645.7
591	5272.9	6000.2	5666.4	5656.7
592	5286.5	6010.7	5677.9	5668.4
593	5300.5	6019.7	5689.2	5680
594	5309.1	6029.1	5701.4	5691.1
595	5318.1	6039.9	5712.1	5702.4
596	5329	6050.4	5723.4	5713.6
597	5336.9	6062.8	5735.3	5725.4
598	5348.8	6074	5747.2	5736.9
599	5357.9	6086.5	5758.9	5748.1
600	5365.4	6099.9	5770.2	5759.6
601	5421.5	6108.5	5786.3	5779.9
602	5477.8	6115.8	5802.4	5799.7
603	5530.2	6126.2	5819.7	5820.2
604	5579.4	6136.5	5836.9	5840.5
605	5621	6146	5856.3	5860.7
606	5663	6158.2	5874.1	5881.1
607	5701.8	6171	5892.5	5901.6
608	5733.9	6188.6	5910.2	5922.4
609	5761.4	6203.8	5929.6	5943.2
610	5779.3	6229.8	5949.1	5963.9
611	5791.2	6262.1	5968.5	5984.7
612	5800	6295.3	5988.5	6005.7
613	5807.7	6328.7	6007.7	6026.3
614	5816.2	6364.3	6024.5	6046.7
615	5821.9	6404.3	6042.4	6067.1
616	5829.2	6455.4	6060.2	6087.6
617	5833.2	6503.4	6077.6	6107.8
618	5839.3	6549.1	6096.1	6128.1
619	5845.3	6600.7	6113.8	6148.6
620	5850.4	6656.8	6130.5	6168.8
621	5886	6678.8	6165.7	6203.6
622	5912.5	6705.9	6204.7	6238.3
623	5937.7	6737.9	6243.8	6273.7
624	5955.6	6764.6	6282.5	6308.7
625	5974	6808.3	6320.4	6343.6
626	5987.3	6847.8	6357.8	6378.2
627	6000	6892.5	6396.4	6413.7
628	6014	6951.1	6431.9	6448.5
629	6024.7	7014.6	6465.8	6483.5
630	6038.8	7077	6501.7	6518.4
631	6048.4	7138.7	6535.4	6552.9
632	6056.2	7205.7	6568.1	6587.4
633	6061.3	7285.7	6600.3	6621.6
634	6071	7360.7	6632.9	6656.1
635	6078.8	7445.8	6662.3	6690.8
636	6089.1	7519.5	6691.7	6725.2
637	6095.5	7596	6721	6759.4
638	6102	7677.7	6749.7	6793.3
639	6108.5	7760.2	6779.7	6827.5
640	6115.8	7837.2	6810.6	6862
641	6162.6	7843.6	6850.9	6901.3
642	6202.7	7855.2	6896.6	6940.4
643	6252.4	7866.5	6937.9	6980.1
644	6298.9	7887	6979.6	7019.3
645	6333.3	7899.5	7023.5	7059
646	6369.6	7918.9	7068.5	7098.8
647	6398	7930.3	7116.3	7138.5
648	6428.4	7952	7164.3	7177.8
649	6454.1	7977.1	7211.3	7217.2
650	6476	7997.5	7259.5	7256.7
651	6499	8022.8	7308.3	7297
652	6518.1	8049.4	7352.7	7336.1
653	6542.7	8069.9	7398.8	7375.2
654	6563.5	8097.8	7442.9	7414.6
655	6584.6	8133.5	7492.1	7454.7
656	6596	8169.9	7532.4	7493.8
657	6609.4	8204.4	7574.6	7532.1
658	6630.4	8255	7614.1	7571.5
659	6645.5	8303.4	7656.2	7610
660	6662.4	8356	7696.8	7648.6
661	6747.7	8368	7730.9	7685.4
662	6831.5	8362.8	7761.8	7720.9
663	6915.8	8375.3	7797.4	7756.7
664	7001.1	8373.8	7828.1	7792.7
665	7087.3	8385.8	7861.6	7828.8
666	7169.6	8386.8	7895.3	7864.4
667	7250.3	8389.9	7927.2	7900.3
668	7335.8	8399.5	7960.8	7936.2
669	7421	8400.5	7994.5	7972.4
670	7497.3	8410.6	8027.2	8008.4
671	7579.4	8412.8	8059.3	8044.9
672	7655.6	8420.8	8092.6	8081.1
673	7734	8429.3	8126.5	8117.3
674	7812.5	8441.3	8160.4	8153.4
675	7884	8448.9	8194	8189.5
676	7949.8	8463.3	8228.3	8226.1
677	8012.3	8477.7	8264.1	8262.8
678	8066.1	8494.5	8301.2	8299.5
679	8112.3	8522.1	8337.8	8336.2
680	8145.4	8555.3	8375.8	8372.5
681	8202.5	8572	8402.6	8405.2
682	8237.8	8591.8	8431.2	8438.3
683	8273.9	8622.4	8464.4	8471.7
