depth	min	max	median	wmean
0	-52.2	-40.3	-46.2	-46.1
1	-49.2	-31.8	-41.8	-41.4
2	-47.8	-19.3	-38.1	-36.7
3	-46.9	-6.9	-34.1	-32.1
4	-46.4	5.7	-30.3	-27.5
5	-45.8	18.3	-26.5	-22.9
6	-45.4	31.4	-22.5	-18.2
7	-44.8	44	-18.6	-13.6
8	-44.5	57	-14.5	-9
9	-44.2	70	-10.5	-4.3
10	-43.9	82.9	-6.6	0.3
11	-43.5	95.7	-2.6	4.9
12	-43.1	108.7	1.4	9.6
13	-42.5	121.4	5.1	14.2
14	-42.1	134.6	9.1	18.9
15	-41.7	147.4	13	23.5
16	-41.8	160.2	17	28.1
17	-41.4	172.9	20.9	32.8
18	-41.1	185.9	24.8	37.4
19	-40.7	199	28.9	42.2
20	-40.3	211.9	32.8	46.9
21	-35.5	215	38	51.5
22	-31.1	217.5	43.2	56.3
23	-27.8	220.2	48.3	61
24	-24.2	224.3	53.4	65.8
25	-21.7	227.8	58.5	70.5
26	-18.6	231.3	64	75.3
27	-15.7	235.6	68.9	80
28	-13.7	239.1	74.2	84.8
29	-11.7	242.5	79.7	89.6
30	-9.5	246.4	84.7	94.3
31	-7.7	250.3	89.7	99.1
32	-5.8	254.9	94.5	104
33	-3.6	260.5	99.1	108.7
34	-2.1	266.1	104.4	113.5
35	-0.7	272.7	109.5	118.4
36	1	277.9	114.2	123
37	2.7	282.5	119.4	127.8
38	4.5	289.2	123.8	132.5
39	6.5	298	128.6	137.3
40	8	305.4	133.3	142
41	14.4	308.1	138.4	147.1
42	20.7	310.2	143.6	152.3
43	25.8	313.8	148.7	157.3
44	31.9	316.2	154.2	162.4
45	35.9	318.9	159.8	167.6
46	40.9	322.3	165.3	172.7
47	44.6	325.1	171.6	177.8
48	48.8	328.8	177.4	182.9
49	52.9	333.7	183.2	188.1
50	55.8	337.6	189.1	193.2
51	58.9	340.9	195.2	198.3
52	61.2	345.7	201.4	203.5
53	63.9	350	206.8	208.6
54	67.4	355	212.1	213.8
55	70.2	360	217.8	219
56	73.2	365.8	223.3	224.1
57	76.9	371.7	229.2	229.2
58	79.2	379.3	234.6	234.2
59	82.6	385.5	239.8	239.3
60	85.9	393.4	244.3	244.4
61	95	395.4	249.3	249.4
62	103.9	398.1	254.6	254.4
63	113.3	399.5	259.8	259.6
64	122.5	401	265.1	264.7
65	131.3	402.2	270.2	269.8
66	139.7	404.6	275.3	274.9
67	148	407.1	280.3	280
68	156.1	408.6	285.3	285.2
69	163	411.4	290.5	290.3
70	170.1	413.8	296.1	295.5
71	177.5	416.4	301.3	300.5
72	183.1	419.2	306.9	305.7
73	188	422.3	312.3	310.9
74	192.7	425.9	318.2	316.1
75	197.1	429.2	323.8	321.2
76	201.6	433.4	329.7	326.3
77	205.7	437.2	335.2	331.5
78	209.4	443.2	340.8	336.6
79	213.1	448.9	346	341.6
80	216.1	455.7	351.2	346.7
81	234.4	459	358.5	354.5
82	249.4	462.8	366.3	362.5
83	262.7	466.6	373	370.4
84	274.7	471.1	381.2	378.3
85	285.7	476	389.1	386.1
86	295.6	481.1	398.4	394.1
87	304.1	488.9	406.6	402
88	310.8	497.4	414.2	409.9
89	316.3	507.6	421	417.6
90	320.6	521.7	427.9	425.4
91	324.6	537	434.4	433
92	328.3	553.8	440.6	440.6
93	331.3	571.8	446.7	448.2
94	333.9	590.7	452.4	455.8
95	337.2	610.9	458.5	463.5
96	339.5	631	464.4	471.2
97	342	650.5	470.4	478.6
98	343.9	670.4	476.7	486.3
99	346.9	692.4	482.6	494
100	349.6	714.1	488.5	501.6
101	360.5	725	499.9	513
102	369.5	737	512.6	524.9
103	377.7	751.3	524.6	536.7
104	387.1	763.4	536.4	548.8
105	392.6	782.7	548.3	560.7
106	397.8	805.9	560.4	572.8
107	402.5	828.3	571.7	584.5
108	407.3	850.9	581.4	596.3
109	410.2	876.7	592.5	608.3
110	414.5	902.4	602.4	620
111	418	931.3	612.6	631.9
112	421	962.2	622.5	643.6
113	424.1	990.6	632.5	655.4
114	427	1020.7	642.6	667.3
115	429.6	1055.5	653	679.1
116	433.1	1087.7	663	691.1
117	436	1120.9	672.3	702.8
118	439.1	1157	682.3	714.7
119	443.1	1191.9	691.6	726.4
120	443.7	1221.7	701.5	738
121	456.7	1232.2	715.5	750.7
122	466.6	1237.7	728.6	762.9
123	474.9	1249.2	741.9	775.4
124	480.5	1258.5	753.5	787.3
125	487.6	1269.3	766.9	799.7
126	493.3	1280.1	779.7	812
127	498.6	1292.6	792.1	824.2
128	504.8	1304.7	804.2	836.4
129	510	1324.5	817.1	848.6
130	514.2	1345	830.7	861.2
131	520.1	1361.9	841.3	873.7
132	523.5	1377.5	854.5	885.9
133	525.7	1397.2	864.8	897.9
134	528.6	1422.1	876.5	910.4
135	533.3	1445.5	889.3	922.7
136	535.6	1469.8	900.8	935
137	541	1495.6	911.1	947.5
138	543.7	1526	922.5	959.5
139	547.4	1556.3	933.8	972
140	551.3	1589.8	944.1	984.2
141	564.4	1597.2	956.3	995.7
142	576.6	1604.4	967.7	1007
143	582.1	1610.2	979.9	1018.7
144	591	1621.5	991.5	1029.9
145	599.2	1627.6	1003	1041.3
146	609.7	1637.5	1016.5	1052.7
147	615.2	1655	1029.5	1064.1
148	619.9	1668.5	1042.8	1075.5
149	628.2	1677.2	1054.2	1086.8
150	632.1	1694.8	1068	1098.3
151	639.1	1707.2	1080.4	1109.8
152	648.2	1720.5	1092.8	1121.4
153	655	1735	1104.1	1132.7
154	657.2	1747.8	1115.5	1144
155	664.6	1763	1128.7	1155.7
156	668.2	1777.5	1141.1	1167.2
157	674.2	1794.3	1152.8	1178.7
158	679.7	1805.6	1166	1190.4
159	682.6	1822	1176.7	1201.6
160	686.3	1837.5	1188.7	1212.9
161	697.5	1850	1200.8	1224.4
162	711.9	1864.6	1212.3	1236.6
163	723.6	1874.1	1224.6	1248.4
164	738.6	1885.5	1236.2	1260
165	750.8	1894.7	1247.6	1271.9
166	758.5	1903.6	1260.2	1284
167	767.5	1914.3	1274.1	1295.7
168	778.2	1925.5	1287	1307.9
169	782.9	1938	1299.1	1320.1
170	793.4	1945.7	1311.1	1331.8
171	799.1	1959.8	1323.7	1343.9
172	809.7	1972.5	1334.7	1355.7
173	817.9	1984.3	1347.2	1367.2
174	825.7	1997.5	1361.8	1379.6
175	831.5	2009.8	1374.6	1391.2
176	839.7	2021.7	1387	1403.7
177	846.4	2036.1	1399.3	1415.3
178	854.8	2051.8	1412.2	1427.1
179	856.9	2067.5	1424	1438
180	863.3	2087.6	1434.9	1449.5
181	876.4	2096	1446	1461.2
182	891.6	2104.6	1457.7	1472.9
183	902.9	2112.7	1468.3	1484.8
184	914.7	2117.6	1480.9	1496.4
185	926.2	2124.5	1493	1508.1
186	936.6	2135.8	1506.6	1520
187	950.8	2145.9	1518.2	1531.7
188	959.8	2159.5	1529.7	1543.7
189	973	2168	1542	1555.9
190	983.7	2176.7	1554.6	1567.1
191	989.4	2187.2	1566.7	1579
192	999.4	2199.3	1580.3	1590.6
193	1008.7	2209.3	1591.3	1602.2
194	1015.5	2225.6	1603.6	1613.9
195	1023.7	2239.3	1616.6	1626.3
196	1032.4	2255	1627	1638.3
197	1041.6	2268	1638.8	1650
198	1047.5	2285.4	1649.3	1661.6
199	1053.4	2305.9	1661.2	1673.7
200	1060.1	2326	1672.5	1685.7
201	1083.4	2328.7	1682.3	1696.7
202	1099.3	2336.1	1693.6	1707.8
203	1115.1	2340.9	1703.7	1718.8
204	1131	2346.7	1716	1730.2
