aggregateid,siteid,sitename,diatomdatasetid,waterchemdatasetid,aggregatedatasetname,aggregatedatasethandle
4,17800,Barnes Lake,29964,43076,Adirondack Calibration - PIRLA,ADK-PIRLA
4,17990,Clear Pong (E.L.),30358,43089,Adirondack Calibration - PIRLA,ADK-PIRLA
4,720,Deep Lake,30735,43099,Adirondack Calibration - PIRLA,ADK-PIRLA
4,14223,Lake Arnold,30949,43125,Adirondack Calibration - PIRLA,ADK-PIRLA
4,18648,Little Echo Pond,31878,43130,Adirondack Calibration - PIRLA,ADK-PIRLA
4,18650,Merriam Lake,31882,43139,Adirondack Calibration - PIRLA,ADK-PIRLA
4,18688,Queer Lake,31958,43176,Adirondack Calibration - PIRLA,ADK-PIRLA
4,710,Arbutus Lake,40402,43074,Adirondack Calibration - PIRLA,ADK-PIRLA
4,711,Avalanche Lake,40403,43075,Adirondack Calibration - PIRLA,ADK-PIRLA
4,712,Bear Pond,40404,43077,Adirondack Calibration - PIRLA,ADK-PIRLA
4,23410,Bog Pond,40455,43081,Adirondack Calibration - PIRLA,ADK-PIRLA
4,713,Cat Mountain Pond,40456,43085,Adirondack Calibration - PIRLA,ADK-PIRLA
4,716,Copperas Pond (Fish Creek),40457,43092,Adirondack Calibration - PIRLA,ADK-PIRLA
4,715,Copperas Pond (Wilmington Notch),40458,43093,Adirondack Calibration - PIRLA,ADK-PIRLA
4,717,Cowhorn Pond,40459,43094,Adirondack Calibration - PIRLA,ADK-PIRLA
4,718,Crane Mountain Pond,40460,43095,Adirondack Calibration - PIRLA,ADK-PIRLA
4,721,Deer Lake,40461,43100,Adirondack Calibration - PIRLA,ADK-PIRLA
4,722,Dunk Pond,40462,43104,Adirondack Calibration - PIRLA,ADK-PIRLA
4,723,East Copperas Pond,40463,43105,Adirondack Calibration - PIRLA,ADK-PIRLA
4,724,Frank Pond,40464,43109,Adirondack Calibration - PIRLA,ADK-PIRLA
4,725,Giant Washbowl,40465,43110,Adirondack Calibration - PIRLA,ADK-PIRLA
4,726,Green Pond,40466,43114,Adirondack Calibration - PIRLA,ADK-PIRLA
4,727,Gull Pond,40467,43116,Adirondack Calibration - PIRLA,ADK-PIRLA
4,728,Heart Lake,40468,43118,Adirondack Calibration - PIRLA,ADK-PIRLA
4,729,Huntley Pond,40469,43120,Adirondack Calibration - PIRLA,ADK-PIRLA
4,730,Lake Madeleine [Jenkins Pond],40470,43121,Adirondack Calibration - PIRLA,ADK-PIRLA
4,736,Little Shallow Pond,40471,43133,Adirondack Calibration - PIRLA,ADK-PIRLA
4,737,Heavens Lake [Long Pond (TL)],40473,43137,Adirondack Calibration - PIRLA,ADK-PIRLA
4,739,Mountain Pond,40474,43143,Adirondack Calibration - PIRLA,ADK-PIRLA
4,740,Nick's Pond,40475,43168,Adirondack Calibration - PIRLA,ADK-PIRLA
4,741,Parch Pond,40476,43173,Adirondack Calibration - PIRLA,ADK-PIRLA
4,742,Pine Pond,40477,43175,Adirondack Calibration - PIRLA,ADK-PIRLA
4,743,Rock Pond,40478,43179,Adirondack Calibration - PIRLA,ADK-PIRLA
4,734,Lake Tear of the Clouds,40479,43124,Adirondack Calibration - PIRLA,ADK-PIRLA
4,22911,Washbowl Pond,40480,43153,Adirondack Calibration - PIRLA,ADK-PIRLA
4,17914,Big Moose Lake,43079,43079,Adirondack Calibration - PIRLA,ADK-PIRLA
4,735,Little Pine Pond,43132,43132,Adirondack Calibration - PIRLA,ADK-PIRLA
4,714,Clear P. (P.L.),43514,43090,Adirondack Calibration - PIRLA,ADK-PIRLA
4,732,Lake Colden,43515,43126,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24460,Livingston P.,43516,43134,Adirondack Calibration - PIRLA,ADK-PIRLA
4,744,Round P.,43518,43180,Adirondack Calibration - PIRLA,ADK-PIRLA
4,746,Wolf L. (H.F.),43519,43158,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24431,Black P.,43526,43080,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24432,Bubb L.,43527,43082,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24466,Moss L.,43528,43142,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24433,Buck P.,43583,43083,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24439,Crystal L.,43584,43096,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24442,Doe P.,43585,43101,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24445,Evergreen L.,43586,43106,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24458,Little Clear P.,43587,43129,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24459,Little Long P.,43588,43131,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24463,Marsh P.,43589,43138,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24495,Sunday P.,43590,43185,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24435,Catamount P.,43591,43086,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24477,Windfall Pond,46236,43157,Adirondack Calibration - PIRLA,ADK-PIRLA
4,745,Upper Wallface Pond,49249,43190,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24436,Cheney Pond,51982,43087,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24437,Chub L.,51983,43088,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24438,Constable P.,51984,43091,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24440,Curtis L.,51985,43097,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24443,Dry Channel P.,51986,43102,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24444,Duck L.,51987,43103,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24446,Fish Ponds (NE),51988,43107,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24447,Fourth L. (Bisby Lakes),51989,43108,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24456,Lake Frances,51990,43127,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24448,Grass P. (H.W.),51991,43111,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24451,Gull L. (South),51992,43115,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24452,Hawk P.,51993,43117,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24453,Hitchcock L.,51994,43119,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24454,John P.,51995,43122,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24455,Kiwassa L.,51996,43123,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24462,Long P. (K.R.),51997,43136,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24464,Middle P.,51998,43140,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24465,Middle South P.,51999,43141,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24467,Mt. Arab L.,52000,43144,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24483,Mud P. (no name),52001,43166,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24482,Mud L. (S.L.),52002,43165,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24484,Nate P.,52003,43167,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24486,North Branch L.,52004,43170,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24485,Nine Corner L.,52006,43169,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24489,Partlow L.,52007,43174,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24492,South L. (East Branch),52008,43182,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24494,St. John L.,52009,43184,Adirondack Calibration - PIRLA,ADK-PIRLA
4,13539,Trout L. (Ed.),52010,43187,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24497,Trout L. (P.L.),52011,43188,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24473,Unknown P.,52012,43152,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24475,Whitney L.,52013,43155,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24476,Wilmurt L.,52014,43156,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24478,Wolf L. (W.C.),52015,43159,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24479,Woodhull L.,52016,43160,Adirondack Calibration - PIRLA,ADK-PIRLA
4,16574,Woods L. (S.L.),52017,43162,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24481,Zack P.,52018,43164,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24430,Bellows L.,,43078,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24434,Cascade L.,,43084,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24441,Dart's L.,,43098,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24449,Grass P. (L.C.),,43112,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24450,Grass P. (S.C.),,43113,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24457,Lake Rondaxe,,43128,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24461,Long L. (C.L.),,43135,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24474,West P.,,43154,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24480,Woodruff P.,,43161,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24487,Otter L.,,43171,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24488,Panther P.,,43172,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24490,Raven L.,,43177,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24491,Rock P. (K.R.),,43178,Adirondack Calibration - PIRLA,ADK-PIRLA
4,16608,Sagamore Lake,,43181,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24493,Squash P.,,43183,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24496,Townsend P.,,43186,Adirondack Calibration - PIRLA,ADK-PIRLA
4,24498,Twin Ponds (Eastern),,43189,Adirondack Calibration - PIRLA,ADK-PIRLA
5,1004,4 [HFL4],39106,39143,Labrador Calibration - Fallu,Labrador-F
5,1005,5 [HFL5],39112,39149,Labrador Calibration - Fallu,Labrador-F
5,1006,6 [HFL6],39120,39157,Labrador Calibration - Fallu,Labrador-F
5,1007,7 [HFL7],39127,39164,Labrador Calibration - Fallu,Labrador-F
5,1008,8 [HFL8],39128,39165,Labrador Calibration - Fallu,Labrador-F
5,1009,9 [HFL9],39129,39166,Labrador Calibration - Fallu,Labrador-F
5,1010,10 [HFL10],39071,39082,Labrador Calibration - Fallu,Labrador-F
5,1011,11 [HFL11],39072,39083,Labrador Calibration - Fallu,Labrador-F
5,1012,12 [HFL12],39073,39084,Labrador Calibration - Fallu,Labrador-F
5,1013,13 [HFL13],39074,39085,Labrador Calibration - Fallu,Labrador-F
5,1014,14 [HFL14],39075,39086,Labrador Calibration - Fallu,Labrador-F
5,1015,15 [HFL15],39076,39087,Labrador Calibration - Fallu,Labrador-F
5,1016,16 [HFL16],39077,39088,Labrador Calibration - Fallu,Labrador-F
5,1017,17 [HFL17],39078,39089,Labrador Calibration - Fallu,Labrador-F
5,1018,19 [HFL19],39080,39091,Labrador Calibration - Fallu,Labrador-F
5,1019,20 [HFL20],39081,39092,Labrador Calibration - Fallu,Labrador-F
5,1020,21 [HFL21],39093,39130,Labrador Calibration - Fallu,Labrador-F
5,1021,22 [HFL22],39094,39131,Labrador Calibration - Fallu,Labrador-F
5,1022,23 [HFL23],39095,39132,Labrador Calibration - Fallu,Labrador-F
5,1023,24 [HFL24],39096,39133,Labrador Calibration - Fallu,Labrador-F
5,1024,25 [HFL25],39097,39134,Labrador Calibration - Fallu,Labrador-F
5,1025,26 [HFL26],39098,39135,Labrador Calibration - Fallu,Labrador-F
5,1026,27 [HFL27],39099,39136,Labrador Calibration - Fallu,Labrador-F
5,1028,29 [HFL29],39100,39137,Labrador Calibration - Fallu,Labrador-F
5,1029,30 [HFL30],39101,39138,Labrador Calibration - Fallu,Labrador-F
5,1031,32 [HFL32],39102,39139,Labrador Calibration - Fallu,Labrador-F
5,1036,37 [HFL37],39103,39140,Labrador Calibration - Fallu,Labrador-F
5,1037,38 [HFL38],39104,39141,Labrador Calibration - Fallu,Labrador-F
5,1038,39 [HFL39],39105,39142,Labrador Calibration - Fallu,Labrador-F
5,1039,40 [HFL40],39107,39144,Labrador Calibration - Fallu,Labrador-F
5,1043,44 [HFL44],39108,39145,Labrador Calibration - Fallu,Labrador-F
5,1046,47 [HFL47],39109,39146,Labrador Calibration - Fallu,Labrador-F
5,1048,51 [HFL51],39113,39150,Labrador Calibration - Fallu,Labrador-F
5,1049,52 [HFL52],39114,39151,Labrador Calibration - Fallu,Labrador-F
5,1051,54 [HFL54],39115,39152,Labrador Calibration - Fallu,Labrador-F
5,1052,55 [HFL55],39116,39153,Labrador Calibration - Fallu,Labrador-F
5,1054,57 [HFL57],39117,39154,Labrador Calibration - Fallu,Labrador-F
5,1055,58 [HFL58],39118,39155,Labrador Calibration - Fallu,Labrador-F
5,1056,59 [HFL59],39119,39156,Labrador Calibration - Fallu,Labrador-F
5,1057,60 [HFL60],39121,39158,Labrador Calibration - Fallu,Labrador-F
5,1058,61 [HFL61],39122,39159,Labrador Calibration - Fallu,Labrador-F
5,1059,62 [HFL62],39123,39160,Labrador Calibration - Fallu,Labrador-F
5,1060,63 [HFL63],39124,39161,Labrador Calibration - Fallu,Labrador-F
5,1062,65 [HFL65],39125,39162,Labrador Calibration - Fallu,Labrador-F
5,1066,69 [HFL69],39126,39163,Labrador Calibration - Fallu,Labrador-F
5,1712,18 [Moraine Lake],39079,39090,Labrador Calibration - Fallu,Labrador-F
5,22550,48 [HFL48],39110,39147,Labrador Calibration - Fallu,Labrador-F
5,22551,49 [HFL49],39111,39148,Labrador Calibration - Fallu,Labrador-F
7,19661,Lake Barco,38921,39012,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,19704,Mirrow Lake [Mulehead Pond],38981,39033,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,19710,Fore lake,38974,39024,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,19711,Lake Lou,38977,39029,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,19712,Lake Mary,38978,39030,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,19713,Lake Suggs,38985,39037,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22463,Baptist,38920,39011,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22464,Boyd,38922,39013,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22465,Catherine,38923,39014,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22466,Lake Charles,38924,39015,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22467,Chain of lakes,38925,39016,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22468,Church (Prairie) Lake,38926,39017,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22469,Clearwater Lake,38927,39018,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22470,Deer Lake,38928,39019,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22471,Lake Delancy,38929,39020,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22472,Doe Lake,38930,39021,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22473,Lake Eaton,38931,39022,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22474,Farles Lake,38932,39023,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22492,Lake Gobbler,38956,39025,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22493,Halfmoon Lake,38957,39026,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22508,Lake Kingsley,38975,39027,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22509,Lake Laura [cat head],38976,39028,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22510,McCloud Lake,38979,39031,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22511,Mill Dam,38980,39032,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22512,North Grasshopper Lake,38982,39034,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22513,Nicatoon Lake,38983,39035,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22514,South Grasshopper Lake,38984,39036,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22515,Sunrise Lake,38986,39038,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22516,Trout Lake,38987,39039,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22517,Waldena Lake,38988,39040,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22518,Yearling Pond,38989,39042,Northern Florida Calibration - PIRLA,NFL-PIRLA
7,22519,Wildcat,38990,39041,Northern Florida Calibration - PIRLA,NFL-PIRLA
8,205,Andrus Lake,39276,45771,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,306,Brown Lake,39282,45777,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,326,Camp 12 Lake,39283,45778,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,663,Denton Lake,39289,45784,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,755,Dunnigan Lake,39292,45787,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,1105,Hustler Lake,39297,45792,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,1669,McNearney Lake,39303,45798,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,1735,Nels Lake,39305,45800,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,1781,Otto Mielke Lake,39307,45802,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,2719,Little John Jr. Lake,39299,45794,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22578,Agawato Lake,39275,45770,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22605,Bass Lake,39277,45772,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22606,Bastile Lake,39278,45773,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22607,Big Carr Lake,39279,45774,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22608,Bird Lake,39280,45775,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22609,Bolger Lake,39281,45776,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22610,Camp 8 Lake,39284,45779,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22611,Clear Lake,39285,45780,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22612,Crystal Lake,39286,45781,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22613,Cusino Lake,39287,45782,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22614,Deadman's Lake,39288,45783,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22615,Diamond Lake,39290,45785,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22616,Dorothy Lake,39291,45786,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22617,Franklin Lake,39293,45788,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22618,Gordon Lake,39294,45789,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22619,Grassy Lake,39295,45790,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22620,Hillis Lake,39296,45791,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22621,Kelly Lake,39298,45793,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22622,Little Rock Lake,39300,45795,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22623,Luna Lake,39301,45796,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22624,McGrath Lake,39302,45797,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22625,Morgan,39304,45799,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22626,Nineweb Lake,39306,45801,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22627,Pallette Lake,39308,45803,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22628,Pretty Lake,39309,45804,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22629,Regenbog Lake,39310,45805,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22630,Ruby Lake,39311,45806,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22631,Sand Lake 1,39312,45807,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22632,Sand Lake 2,39313,45808,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22633,Sletten,39314,45809,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22634,Slim Lake,39315,45810,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22635,Stuart Lake,39316,45811,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22636,Sugar Camp,39317,45812,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22637,Summit Lake,39318,45813,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
8,22638,Tee Lake,39319,45814,Northern Great Lakes States Calibration - PIRLA,NGLS-PIRLA
9,25899,(The) Horns P.,44764,44830,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25900,Bean P.,44765,44831,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25901,Beaver P.,44766,44832,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25902,Black Mountain P.,44767,44833,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25903,Black P.,44768,44834,Northern New England Calibration - PIRLA,NNE-PIRLA
9,13048,Branch P.,44769,44835,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25904,Carter P. (Upper),44770,44836,Northern New England Calibration - PIRLA,NNE-PIRLA
9,24185,Cone P.,44771,44837,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25905,Crystal P.,44772,44838,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25906,Darrah P.,44773,44839,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25907,East Chairback P.,44774,44840,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25908,Ethan P.,44775,44841,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25909,Fitts P.,44776,44842,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25910,Goodall P.,44777,44843,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25911,Granger P.,44778,44844,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25912,Griffith P.,44779,44845,Northern New England Calibration - PIRLA,NNE-PIRLA
9,18865,Haystack P.,44780,44846,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25913,Heald P.,44781,44847,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25914,Horseshoe P.,44782,44848,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25915,Horton P.,44783,44849,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25916,Hough P. (Huff P.),44784,44850,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25917,Hunnewell L.,44785,44851,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25918,Jackson P.,44786,44852,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25919,Jellison Hill P.,44787,44853,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25920,Jimmie P.,44788,44854,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25921,Kiah P.,44789,44855,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25922,Kings Hill P.,44790,44856,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25923,Klondike P.,44791,44857,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25924,Lake Constance,,44858,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25925,Ledge P.,44792,44859,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25926,Levi P.,44793,44860,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25927,Little East P.,44794,44861,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25928,Little Ellis P.,44795,44862,Northern New England Calibration - PIRLA,NNE-PIRLA
9,18872,Little Long P.,44796,44863,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25929,Little Sebago L.,44797,44864,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25930,Long P. (Beaver Mt.),44798,44865,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25931,Loon P.,44799,44866,Northern New England Calibration - PIRLA,NNE-PIRLA
9,1615,Lost P.,44800,44867,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25932,Lower Greeley P.,44801,44868,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25933,Middle Hall P.,44802,44869,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25934,Moulton P.,44803,44870,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25935,Mountain P. (Rangeley),44804,44871,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25936,Mud P.,44805,44872,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25937,North Beaverdam L.,44806,44873,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25938,North King P.,44807,44874,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25939,Osmore P.,44808,44875,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25940,Peep L.,44809,44876,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25941,Pigeon P.,44810,44877,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25942,Piper P.,44811,44878,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25943,Salmon P.,44812,44879,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25944,Sand P.,44813,44880,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25945,Sargent Mountain P.,44814,44881,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25946,Solitude P.,44815,44882,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25947,Speck P.,44816,44883,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25948,Tumbledown P.,44817,44884,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25949,Turner P.,44818,44885,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25950,Unknown P.,44819,44886,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25951,Unnamed P.,44820,44887,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25952,Upper Greeley P.,44821,44888,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25953,Walton P.,44822,44889,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25954,West Garland P.,44823,44890,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25955,Westford P.,44824,44891,Northern New England Calibration - PIRLA,NNE-PIRLA
9,25956,Worthley P.,44825,44892,Northern New England Calibration - PIRLA,NNE-PIRLA
10,8553,Lake Albert,54039,54105,Northern Great Plains - Fritz,NGPL-Fritz
10,9770,Alkali Lake,54040,54106,Northern Great Plains - Fritz,NGPL-Fritz
10,28900,Basin,54041,54110,Northern Great Plains - Fritz,NGPL-Fritz
10,28901,Big Quill,54042,54111,Northern Great Plains - Fritz,NGPL-Fritz
10,28902,Bitter,54043,54112,Northern Great Plains - Fritz,NGPL-Fritz
10,28903,Boucher,54044,54114,Northern Great Plains - Fritz,NGPL-Fritz
10,24504,Lake Byron,54045,54115,Northern Great Plains - Fritz,NGPL-Fritz
10,28908,Coldwater,54052,54116,Northern Great Plains - Fritz,NGPL-Fritz
10,9765,Coon Lake,54053,54117,Northern Great Plains - Fritz,NGPL-Fritz
10,19022,Deadmoose,54054,54118,Northern Great Plains - Fritz,NGPL-Fritz
10,28909,Devils,54055,54119,Northern Great Plains - Fritz,NGPL-Fritz
10,9671,Eckelson Lake,54056,54120,Northern Great Plains - Fritz,NGPL-Fritz
10,28910,E. Coteau,54057,54121,Northern Great Plains - Fritz,NGPL-Fritz
