variablename,replacement
Ribes,
Ribes-type,
Rosaceae,
Rosaceae (<20 µm),
Rosaceae (>20 µm),
Rosaceae undiff.,
Rubiaceae,
Rubus,
Rubus chamaemorus,
Rumex,
Rumex-type,
Rumex/Oxyria,
Rumex/Oxyria digyna,
Rumex/Oxyria digyna undiff.,
Sagittaria,Aquatic
Salix,
Salix sp.,
Sambucus,
Sanguisorba,
Sanguisorba-type,
Sapindaceae,
Sarcobatus,
Sarcobatus vermiculatus,
Saussurea,
Saxifraga,
Saxifraga tricuspidata-type,
Saxifragaceae,
Saxifragaceae undiff.,
Saxifragaceae-type,
Scilla-type,
Scrophulariaceae,
Sedum,
Shepherdia,
Shepherdia argentea,
Shepherdia canadensis,
Shepherdia canadensis-type,
Shepherdia undiff.,
Silene,
Solanaceae,
Solidago canadensis,
Sorbus,
Sparganium,Aquatic
Sparganium-type,Aquatic
Spermatophyta undiff. (aquatics),Aquatic
Spiraea,
Spiraea-type,
Stellaria,
Stellaria-type,
Symphoricarpos-type,
Taraxacum,
Taraxacum-type,
Taxus,
Taxus brevifolia,
Thalictrum,
Thuja plicata-type,
Thuja-type,
Tilia,
Tofieldia,
Trifolium,
Triglochin,Aquatic
Tsuga,
Tsuga heterophylla,
Tsuga mertensiana,
Typha,Aquatic
Typha (tetrad),Aquatic
Typha (tetrad) undiff.,Aquatic
Typha latifolia,Aquatic
Typha/Sparganium,Aquatic
Typha/Sparganium undiff.,Aquatic
Typhaceae,Aquatic
Ulmus,
Unknown,
Urtica,
Urtica-type,
Urticaceae,
Vaccinium,
Vaccinium-type,
Valeriana,
Valeriana sitchensis,
Valeriana-type,
Valerianaceae undiff.,
Valerianella-type,
Valerianoideae,
Verbena,
Viburnum,
Viola,
Violaceae,
Viscaceae sensu stricto undiff.,
Vitis,
Xanthium,
