labID,age,error,depth,cc
Core top,-47,1,0,0
Radiocarbon,240,80,60,1
Radiocarbon,810,80,89,1
Radiocarbon,1050,40,129,1
Radiocarbon,1210,50,149,1
Radiocarbon,1270,80,179,1
Radiocarbon,1560,50,209,1
Radiocarbon,1780,80,240,1
Radiocarbon,2330,70,322,1
