variablename,harmonizedname
Bison bison,Bison
Bison sp.,Bison
Bison,Bison
cf. Bison bison,Bison
cf. Bison sp.,Bison
Bison bison athabascae,Bison
Bison bison cf. B. b. antiquus,Bison
Bison bison bison,Bison
?Bison sp.,Bison
Bison athabascae,Bison
Bison ?priscus,Bison
Bison cf. B. latifrons,Bison
Bison bison cf. B. b. occidentalis,Bison
cf. Bison,Bison
Bison cf. B. alleni,Bison
Bison cf. B. antiquus,Bison
Bison cf. B. priscus,Bison
