depth	min	max	median	wmean
172.5	6873.7	7087.4	7003.3	6998
173.5	6894.1	7107.9	7021.8	7016.9
174.5	6914.3	7128.3	7040.1	7035.8
175.5	6934.3	7149.1	7058.5	7054.8
176.5	6954.5	7169.5	7077	7073.8
177.5	6974.3	7190	7095.6	7092.8
178.5	6994.5	7210.2	7113.6	7111.5
179.5	7014.6	7231.3	7132.2	7130.5
180.5	7033.8	7252.3	7150.8	7149.4
181.5	7052.8	7273.6	7169	7168.2
182.5	7070.8	7294.2	7187.2	7187.1
183.5	7089	7315.3	7205.5	7206
184.5	7106.4	7336.2	7224.1	7224.9
185.5	7125	7358.1	7242.8	7244
186.5	7142.3	7379.1	7261.4	7262.8
187.5	7159.2	7399.9	7280.4	7281.7
188.5	7176.2	7420.8	7298.9	7300.6
189.5	7192.5	7442.4	7317.6	7319.6
190.5	7209.4	7463.9	7336.4	7338.6
191.5	7226.1	7484.8	7354.7	7357.4
192.5	7241.6	7506.3	7373.8	7376.4
196.5	7304.4	7592.6	7449.3	7451.9
201.5	7373.8	7677.1	7528.2	7530.5
206.5	7423.8	7706.6	7570.3	7571.5
211.5	7470	7743.7	7611.9	7612.4
215.5	7504	7779.6	7646.3	7645.2
218.5	7526.9	7809.7	7671.3	7669.9
221.5	7547.1	7839.2	7694.4	7694.2
226.5	7578.1	7893.8	7732.7	7734.6
230.5	7599.9	7939.8	7762.8	7767
234.5	7618.4	7987.5	7793.2	7799.7
238.5	7636.8	8034.3	7823.8	7832.2
