labID,age,error,depth,cc
OS-78794,10000,60,90,1
UGAMS-7904,10730,35,131,1
OS-78796,10850,85,160,1
OS-77325,12350,110,180,1
OS-84360,12800,85,181,1
OS-84386,13400,100,223,1
OS-78797,14250,120,275,1
OS-78832,14200,120,315,1
UGAMS-7905,14300,40,358,1
OS-79475,14350,75,380,1
OS-79776,15450,45,425,1
OS-79435,15800,120,475,1
