units,context,element,taxonid,symmetry,taxongroup,elementtype,variablename,ecologicalgroup,sites,samples
NISP,NA,spore,648,NA,Vascular plants,spore,Diphasiastrum complanatum,VACR,9,33
NISP,NA,spore,653,NA,Vascular plants,spore,Huperzia selago-type,VACR,2,3
NISP,NA,spore,676,NA,Vascular plants,spore,Polypodiophyta,VACR,1,1
NISP,NA,spore,680,NA,Vascular plants,spore,Osmunda regalis-type,VACR,1,2
NISP,NA,spore,707,NA,Vascular plants,spore,Polypodium virginianum,VACR,2,9
NISP,NA,spore,720,NA,Vascular plants,spore,Pteridium aquilinum,VACR,4,59
NISP,NA,spore,749,NA,Vascular plants,spore,Selaginella rupestris,VACR,1,1
NISP,NA,spore,750,NA,Vascular plants,spore,Selaginella selaginoides,VACR,1,3
NISP,NA,spore,807,NA,Vascular plants,spore,Pteridium,VACR,32,361
NISP,NA,spore,835,NA,Vascular plants,spore,Polypodium,VACR,5,21
NISP,NA,spore,837,NA,Vascular plants,spore,Dennstaedtia,VACR,3,3
NISP,NA,spore,850,NA,Vascular plants,spore,Osmunda regalis,VACR,8,51
NISP,NA,spore,895,NA,Vascular plants,spore,Dryopteris-type undiff.,VACR,1,20
NISP,NA,spore,948,NA,Vascular plants,spore,Adiantum pedatum,VACR,1,1
NISP,NA,spore,952,NA,Vascular plants,spore,Botrychium undiff.,VACR,1,2
NISP,NA,spore,956,NA,Vascular plants,spore,Dryopteris carthusiana,VACR,1,4
NISP,NA,spore,1090,NA,Vascular plants,spore,cf. Osmunda,VACR,1,1
NISP,NA,spore,1091,NA,Vascular plants,spore,Osmunda regalis/O. claytoniana,VACR,1,2
NISP,NA,spore,1092,NA,Vascular plants,spore,Adiantum-type,VACR,1,1
NISP,NA,spore,1109,NA,Fungi,spore,Tilletia sphagni,FUNG,1,7
NISP,NA,spore,1168,NA,Bryophytes,spore,Bryophyta,UPBR,6,6
NISP,NA,spore,1180,NA,Vascular plants,spore,Lycopodiaceae,VACR,5,27
NISP,NA,spore,1206,NA,Vascular plants,spore,Osmundaceae,VACR,2,2
NISP,NA,spore,1256,NA,Unidentified palynomorphs,spore,"Unknown (trilete, psilate)",UNID,1,5
NISP,NA,spore,1433,NA,Fungi,spore,Tilletia,FUNG,1,2
NISP,NA,spore,1489,NA,Fungi,spore,Sporormiella,FUNG,10,10
NISP,NA,spore,1536,NA,Vascular plants,spore,Botrychium cf. B. multifidum,VACR,1,1
NISP,NA,spore,1559,NA,Vascular plants,spore,cf. Botrychium,VACR,1,1
NISP,NA,spore,1941,NA,Unidentified palynomorphs,spore,"Unknown (monolete, verrucate)",UNID,8,23
NISP,NA,spore,2027,NA,Vascular plants,spore,Pteridophyta undiff.,VACR,2,49
NISP,NA,spore,2180,NA,Vascular plants,spore,cf. Adiantum,VACR,1,1
NISP,NA,spore,2216,NA,Vascular plants,spore,Botrychium cf. B. dissectum,VACR,1,1
NISP,NA,spore,2222,NA,Vascular plants,spore,Lycopodiaceae cf. Lycopodium clavatum,VACR,1,1
NISP,NA,spore,2225,NA,Vascular plants,spore,Ophioglossum cf. O. vulgatum,VACR,1,2
NISP,NA,spore,2343,NA,Unidentified palynomorphs,spore,"Unknown (monolete, psilate)",UNID,3,28
NISP,NA,spore,2578,NA,Vascular plants,spore,Dryopteris cf. D. fragrans,VACR,1,3
NISP,NA,spore,2579,NA,Vascular plants,spore,Dryopteris cf. D. filix-mas,VACR,1,5
NISP,NA,spore,2580,NA,Vascular plants,spore,Dryopteris cf. D. goldiana,VACR,1,1
NISP,NA,spore,2581,NA,Vascular plants,spore,Gymnocarpium robertianum,VACR,1,1
NISP,NA,spore,2582,NA,Vascular plants,spore,cf. Onoclea sensibilis,VACR,1,6
NISP,NA,spore,2583,NA,Vascular plants,spore,Woodsia obtusa,VACR,1,1
NISP,NA,spore,2584,NA,Vascular plants,spore,Woodsia cf. W. ilvensis,VACR,1,1
NISP,NA,spore,2585,NA,Vascular plants,spore,cf. Asplenium,VACR,1,1
NISP,NA,spore,2586,NA,Vascular plants,spore,Botrychium cf. B. lunaria,VACR,1,4
NISP,NA,spore,2630,NA,Unidentified palynomorphs,spore,Unknown (diporate),UNID,1,7
NISP,NA,spore,3429,NA,Vascular plants,spore,Thelypteris,VACR,1,2
NISP,NA,spore,4985,NA,Vascular plants,spore,cf. Athyrium,VACR,1,1
NISP,NA,spore,5011,NA,Vascular plants,spore,Lycopodium,VACR,6,105
NISP,NA,spore,5013,NA,Vascular plants,spore,Lycopodium undiff.,VACR,10,37
NISP,NA,spore,5542,NA,Fungi,spore,Chaetomium,FUNG,1,1
NISP,NA,spore,9818,NA,Bryophytes,spore,Ulota,UPBR,1,3
NISP,NA,spore,21192,NA,Unidentified palynomorphs,spore,"Unknown (trilete, scabrate)",UNID,7,23
NISP,NA,spore,23130,NA,Fungi,spore,Podospora,FUNG,4,4
NISP,NA,spore,25912,NA,Fungi,spore,Coprinus,FUNG,6,6
NISP,NA,spore,25916,NA,Fungi,spore,Fusarium,FUNG,8,8
NISP,NA,spore,25917,NA,Fungi,spore,Neurospora,FUNG,2,2
NISP,NA,spore,25924,NA,Fungi,spore,Pleospora,FUNG,5,5
NISP,NA,spore,25926,NA,Fungi,spore,Torula,FUNG,1,1
NISP,NA,spore,25932,NA,Fungi,spore,Aureobasidium/Delitschia,FUNG,3,3
NISP,NA,spore,29212,NA,Vascular plants,spore,Osmundastrum cinnamomeum,VACR,13,99
NISP,NA,spore,29215,NA,Vascular plants,spore,Osmundaceae undiff.,VACR,1,5
NISP,NA,suberized basal cells,673,NA,Vascular plants,suberized basal cells,Nymphaeaceae,AQVP,1,4
NISP,NA,volume,276,NA,Laboratory analyses,volume,Sample quantity,LABO,1,22
NISP,NA,volume examined,276,NA,Laboratory analyses,volume examined,Sample quantity,LABO,4,83
number,NA,counted,95,NA,Laboratory analyses,counted,Eucalyptus spike,LABO,14,525
number,NA,counted,324,NA,Laboratory analyses,counted,Microspheres,LABO,2,80
number,NA,counted,932,NA,Laboratory analyses,counted,Lycopodium spike,LABO,8,312
number,NA,quantity added,97,NA,Laboratory analyses,quantity added,Eucalyptus tablets,LABO,3,108
number,NA,quantity added,930,NA,Laboratory analyses,quantity added,Lycopodium tablets,LABO,2,83
